,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
3481,2016-12-08,15180,15440,15080,15260,1.60%,15060.0,15664.0,15890.0,15150.0,15030.0,14990.0,1002215.0,832436.0,1200136.0,1422178.0,63402377.0,1.68,45.65,94.55,62.99,815895430.0
3482,2016-12-09,15260,15880,15200,15880,4.06%,15224.0,15680.0,15888.0,15530.0,15260.0,15170.0,1502205.0,942880.0,1166914.0,1432623.0,63463411.0,1.67,52.02,97.66,62.93,817397635.0
3483,2016-12-12,16000,16120,15740,15920,0.25%,15420.0,15718.0,15885.0,16220.0,15710.0,15540.0,1574665.0,1064818.0,1180392.0,1444884.0,63467377.0,1.72,52.4,100.25,63.38,818972300.0
3484,2016-12-13,15920,15960,15680,15840,-0.50%,15584.0,15750.0,15881.0,16020.0,15925.0,15640.0,957585.0,1122978.0,1181671.0,1448010.0,63462565.0,1.59,51.54,99.25,62.47,818014715.0
3485,2016-12-14,15980,16200,15740,15740,-0.63%,15728.0,15734.0,15869.0,15900.0,15830.0,15620.0,1409240.0,1289182.0,1110572.0,1430410.0,63453668.0,1.07,50.45,101.29,59.16,816605475.0
3486,2016-12-15,15740,15860,15460,15620,-0.76%,15800.0,15705.0,15855.0,15970.0,15855.0,15510.0,899950.0,1268729.0,1095676.0,1429073.0,63446807.0,0.54,49.13,101.83,55.1,815705525.0
3487,2016-12-16,15660,15680,15480,15500,-0.77%,15724.0,15673.0,15832.0,15740.0,15640.0,15340.0,705915.0,1109471.0,1060616.0,1409850.0,63441384.0,0.2,47.8,102.92,52.01,814999610.0
3488,2016-12-19,15540,15860,15540,15640,0.90%,15668.0,15665.0,15814.0,15590.0,15540.0,15390.0,757280.0,945994.0,1051821.0,1400370.0,63448224.0,0.08,49.48,104.69,50.86,815756890.0
3489,2016-12-20,15660,15820,15380,15380,-1.66%,15576.0,15616.0,15795.0,15910.0,15670.0,15590.0,877495.0,929976.0,1009360.0,1400252.0,63433637.0,-0.28,46.55,102.4,46.84,814879395.0
3490,2016-12-21,15480,15480,15220,15220,-1.04%,15472.0,15558.0,15770.0,15600.0,15490.0,15160.0,1038685.0,855865.0,992901.0,1403953.0,63422831.0,-0.89,44.83,101.33,38.33,813840710.0
3491,2016-12-22,15300,15380,14960,14960,-1.71%,15340.0,15499.0,15743.0,15350.0,15285.0,15090.0,1380540.0,951983.0,1018490.0,1413075.0,63399247.0,-1.05,42.15,98.03,36.36,812460170.0
3492,2016-12-23,15100,15180,14900,15000,0.27%,15240.0,15436.0,15718.0,15170.0,15065.0,14750.0,1339205.0,1078641.0,1043040.0,1415705.0,63402828.0,-1.56,42.71,94.46,30.13,813799375.0
3493,2016-12-26,15000,15160,15000,15020,0.13%,15116.0,15393.0,15695.0,15090.0,15020.0,14810.0,661255.0,1059436.0,1022853.0,1395004.0,63403710.0,-2.07,43.0,94.35,23.92,814460630.0
3494,2016-12-27,15100,15120,14920,14960,-0.40%,15032.0,15343.0,15674.0,15170.0,15050.0,15010.0,1184870.0,1120911.0,1033667.0,1385464.0,63398977.0,-2.58,42.32,94.44,17.65,813275760.0
3495,2016-12-28,15000,15180,14940,15100,0.94%,15008.0,15321.0,15641.0,15040.0,14990.0,14840.0,1007975.0,1114769.0,1020077.0,1341540.0,63408410.0,-2.62,44.47,95.93,17.48,814283735.0
3496,2016-12-29,15140,15400,15060,15400,1.99%,15096.0,15324.0,15613.0,15260.0,15080.0,15020.0,1008025.0,1040266.0,1023354.0,1325983.0,63428437.0,-2.43,48.79,98.59,18.41,815291760.0
3497,2017-01-02,15480,15520,15320,15340,-0.39%,15164.0,15338.0,15591.0,15570.0,15315.0,15230.0,715700.0,915565.0,1011639.0,1317686.0,63425648.0,-2.14,48.0,98.97,19.93,814576060.0
3498,2017-01-03,15440,16000,15400,16000,4.30%,15360.0,15391.0,15582.0,15430.0,15380.0,15230.0,2225900.0,1228494.0,1074686.0,1342739.0,63521417.0,-1.75,56.21,102.3,24.25,816801960.0
3499,2017-01-04,16080,17020,16060,16860,5.38%,15740.0,15483.0,15591.0,16300.0,15850.0,15700.0,6121975.0,2215915.0,1347445.0,1423300.0,63850473.0,-0.85,64.02,109.62,37.66,822923935.0
3500,2017-01-05,17000,17200,16800,16800,-0.36%,16080.0,15572.0,15604.0,17420.0,16700.0,16460.0,3058565.0,2626033.0,1471462.0,1429752.0,63839589.0,0.09,63.19,110.38,51.27,819865370.0
3501,2017-01-06,16880,16900,16440,16740,-0.36%,16348.0,15646.0,15619.0,17000.0,16900.0,16600.0,2054400.0,2835308.0,1524072.0,1447011.0,63832251.0,0.95,62.33,111.9,62.35,817810970.0
3502,2017-01-09,16840,16900,16500,16560,-1.08%,16592.0,15680.0,15630.0,16820.0,16705.0,16360.0,1180180.0,2928204.0,1507970.0,1454286.0,63819561.0,1.58,59.78,110.4,68.65,816630790.0
3503,2017-01-10,16520,16700,16300,16400,-0.97%,16672.0,15704.0,15635.0,16730.0,16630.0,16330.0,1646510.0,2812326.0,1511562.0,1468358.0,63803653.0,2.02,57.56,109.19,71.57,814984280.0
3504,2017-01-11,16400,16740,16320,16640,1.46%,16628.0,15744.0,15643.0,16550.0,16450.0,16150.0,1352440.0,1858419.0,1531305.0,1476766.0,63823445.0,2.61,59.92,111.23,75.09,816336720.0
3505,2017-01-12,16700,16740,16380,16380,-1.56%,16544.0,15776.0,15644.0,16900.0,16585.0,16480.0,1258190.0,1498344.0,1523753.0,1477199.0,63803786.0,2.97,56.35,108.48,76.67,815078530.0
3506,2017-01-13,16380,16880,16320,16780,2.44%,16552.0,15834.0,15654.0,16560.0,16470.0,16200.0,2404660.0,1568396.0,1598988.0,1494063.0,63862508.0,3.33,60.2,108.96,78.08,817483190.0
3507,2017-01-16,16880,16900,16480,16520,-1.55%,16544.0,15885.0,15660.0,17110.0,16690.0,16550.0,1022695.0,1536899.0,1614827.0,1495087.0,63846661.0,3.57,56.76,107.69,78.94,816460495.0
3508,2017-01-17,16520,16680,16280,16380,-0.85%,16540.0,15922.0,15664.0,16710.0,16605.0,16290.0,1145540.0,1436705.0,1634240.0,1501669.0,63836953.0,3.45,54.98,102.38,78.58,815314955.0
3509,2017-01-18,16440,16520,16060,16220,-0.98%,16456.0,15964.0,15660.0,16530.0,16430.0,16130.0,928620.0,1351941.0,1636796.0,1491714.0,63827882.0,3.11,52.97,96.2,75.5,814386335.0
3510,2017-01-19,16140,16460,16100,16460,1.48%,16472.0,16026.0,15665.0,16370.0,16255.0,15910.0,1231940.0,1346691.0,1646459.0,1496447.0,63846111.0,2.92,55.54,97.98,73.89,815618275.0
3511,2017-01-20,16360,16440,16060,16080,-2.31%,16332.0,16082.0,15662.0,16640.0,16370.0,16280.0,1426405.0,1151040.0,1648752.0,1509951.0,63813181.0,2.79,50.89,96.06,72.52,814191870.0
3512,2017-01-23,16000,16060,15680,15800,-1.74%,16188.0,16122.0,15660.0,16260.0,16165.0,15880.0,1693905.0,1285282.0,1666488.0,1513211.0,63783685.0,2.82,47.78,95.41,72.97,812497965.0
3513,2017-01-24,15900,15940,15760,15760,-0.25%,16064.0,16159.0,15668.0,15930.0,15835.0,15550.0,895340.0,1235242.0,1678192.0,1486614.0,63781418.0,2.9,47.34,96.1,73.97,811602625.0
3514,2017-01-25,15660,15840,15220,15220,-3.43%,15864.0,16172.0,15673.0,15850.0,15805.0,15670.0,2785085.0,1606535.0,1758202.0,1500663.0,63685990.0,2.72,41.89,91.47,71.93,808817540.0
3515,2017-01-26,15240,15540,15240,15420,1.31%,15656.0,16188.0,15692.0,15530.0,15375.0,14910.0,1581950.0,1676537.0,1786901.0,1473682.0,63706778.0,2.61,44.4,94.14,70.77,810399490.0
3516,2017-01-31,15440,15860,15380,15540,0.78%,15548.0,16195.0,15713.0,15630.0,15405.0,15330.0,1303895.0,1652035.0,1801695.0,1463437.0,63716925.0,2.28,45.87,92.61,67.31,811703385.0
3517,2017-02-01,15640,15780,15600,15680,0.90%,15524.0,16212.0,15731.0,15940.0,15580.0,15460.0,987550.0,1510764.0,1815287.0,1456498.0,63725822.0,2.06,47.59,94.92,65.18,812690935.0
3518,2017-02-02,15820,16000,15520,15540,-0.89%,15480.0,16189.0,15744.0,15820.0,15685.0,15640.0,1428350.0,1617366.0,1775410.0,1467306.0,63713069.0,1.68,46.05,94.87,62.13,811262585.0
3519,2017-02-03,15600,15700,15500,15600,0.39%,15556.0,16126.0,15756.0,15770.0,15650.0,15290.0,891200.0,1238589.0,1513871.0,1470219.0,63716509.0,1.01,46.83,96.18,57.66,812153785.0
3520,2017-02-06,15620,15700,15400,15460,-0.90%,15564.0,16059.0,15776.0,15700.0,15600.0,15500.0,845735.0,1091346.0,1403230.0,1440149.0,63708920.0,0.21,45.22,93.92,51.6,811308050.0
